ID;vardas;frakcija;naryste;statusas
7;Andr;1;1;1
22;Bogu;2;1;2
31;Dagy;3;1;2
43;Zing;3;1;2
45;Þiem;4;2;1
51;Ðiau;1;1;1
54;Vese;5;1;1
63;Peèe;3;1;2
80;Sala;1;1;1
94;Uoka;3;1;2
110;Jurð;1;1;1
114;Karo;1;1;1
117;Kirk;1;1;1
121;Kubi;3;1;2
125;Kuzm;3;1;2
149;Ðimë;3;1;2
155;Glav;6;1;2
178;Jukn;3;1;2
200;Klum;5;1;1
231;ÈSta;3;1;2
232;Sabu;3;1;2
265;Brad;1;1;1
7193;Olek;1;1;1
7194;Butk;1;1;1
7198;Kaðë;6;1;2
7199;Graþ;5;1;1
7206;Kupè;3;1;2
7207;Degu;3;1;2
7208;Aþub;3;1;2
7221;AnMa;3;1;2
7227;Vidþ;3;1;2
7229;Alek;3;1;2
7242;Razm;3;1;2
7252;Sysa;1;1;1
7259;Rutk;3;1;2
7260;Èapl;2;1;2
7448;Ðedb;3;1;2
12253;JNar;5;1;1
16689;Beki;3;1;2
22590;Kazu;3;1;2
23310;MPet;1;1;1
23521;Saba;1;1;1
23526;Vësa;1;1;1
23547;VMaz;5;1;1
23552;Bara;5;1;1
23562;Meli;2;1;2
23671;Ðuky;2;1;2
23696;Talm;5;1;1
23703;Dumè;3;1;2
23775;Pauþ;1;1;1
24013;Luom;3;1;2
24021;Stun;3;1;2
24594;Budr;7;1;2
26333;Sink;1;1;1
26338;Nava;6;1;2
26418;Step;6;1;2
26656;Baðk;8;1;3
33749;Jank;3;1;2
34208;ViMa;3;1;2
34422;EMas;6;1;2
34428;Grub;6;1;2
34505;Þeim;3;1;2
34643;JJuo;1;1;1
36032;Marg;3;1;2
36392;Pupi;3;1;2
36693;Dumb;5;1;1
37063;Simu;9;1;3
38116;Bast;1;1;1
38796;Lies;2;1;2
38848;Miku;10;1;1
43842;Teið;6;1;2
44850;Jony;1;1;1
45771;Auðt;6;1;2
47158;Bace;3;1;2
47211;Lyde;2;1;2
47218;Rima;1;1;1
47221;Baur;8;1;3
47225;Vare;3;1;2
47232;JPal;1;1;1
47811;KMas;3;1;2
47830;Smet;5;1;1
47832;Jagm;1;1;1
47836;Þaka;1;1;1
47837;Daut;3;1;2
47839;Star;3;1;2
47841;Galv;5;1;1
47842;Gedv;10;1;1
47844;Dauk;10;1;1
47845;Ramo;4;1;1
47849;Endz;6;1;2
47850;Buka;10;1;1
47852;Aèas;5;1;1
47856;Buce;10;1;1
47860;Èigr;3;1;2
47861;Pavi;1;1;1
47867;Grau;10;1;1
47875;OVal;5;1;1
47910;Vara;4;1;1
47932;Gapð;10;1;1
47959;Pins;10;1;1
47983;Zasè;10;1;1
48114;Balt;10;1;1
48690;Adom;3;1;2
50121;Ruèy;5;1;1
50482;Bilo;3;1;2
53899;Saud;3;1;2
53900;Jurk;3;1;2
53901;Ðedþ;1;2;1
53902;Stir;7;1;2
53903;Uþly;4;1;1
53904;JSta;4;1;1
53905;Gied;1;1;1
53906;Petk;5;1;1
53907;Valk;9;2;3
53908;Rame;8;1;3
53909;Mack;5;1;1
53910;Urba;3;1;2
53911;Nedz;7;1;2
53912;Kuod;6;1;2
53913;ETam;6;1;2
53914;Rama;3;1;2
53915;Song;3;1;2
53916;Anuð;3;1;2
53917;ASta;3;1;2
53918;Ðilg;2;2;2
53919;AVal;7;1;2
53920;Kara;4;1;1
53921;Kurp;4;1;1
53922;Babi;7;1;2
53923;Meiþ;4;1;1
53924;Dini;4;1;1
53925;Bauk;7;1;2
53926;Þili;4;1;1
53927;IVal;7;1;2
53929;Stom;3;1;2
53930;Kern;4;1;1
53931;Koms;5;1;1
53932;AMaz;5;1;1
54008;Sach;4;1;1
65700;AgZu;9;1;3
65703;Þema;5;1;1
