;7;22;31;43;45;51;54;63;80;94;110;114;117;121;125;149;155;178;200;231;232;265;7193;7194;7198;7199;7206;7207;7208;7221;7227;7229;7242;7252;7259;7260;7448;12253;16689;22590;23310;23521;23526;23547;23552;23562;23671;23696;23703;23775;24013;24021;24594;26333;26338;26418;26656;33749;34208;34422;34428;34505;34643;36032;36392;36693;37063;38116;38796;38848;43842;44850;45771;47158;47211;47218;47221;47225;47232;47811;47830;47832;47836;47837;47839;47841;47842;47844;47845;47849;47850;47852;47856;47857;47860;47861;47867;47875;47910;47932;47959;47983;48114;48690;50121;50482;53899;53900;53901;53902;53903;53904;53905;53906;53907;53908;53909;53910;53911;53912;53913;53914;53915;53916;53917;53918;53919;53920;53921;53922;53923;53924;53925;53926;53927;53929;53930;53931;53932;54008;65700;65703
-4995_2009-07-16_19:35:50;5;5;5;5;5;5;5;5;5;2;5;5;5;5;1;5;5;5;5;5;5;5;5;5;2;1;1;5;5;5;5;2;5;1;5;5;5;5;5;2;5;1;5;1;5;5;5;0;1;5;1;2;5;5;5;5;5;2;2;5;5;2;1;2;2;1;5;5;1;5;5;5;5;5;5;1;5;2;5;5;5;5;1;5;5;1;5;5;5;5;5;5;2;5;1;5;1;5;5;1;5;1;1;5;1;5;5;1;1;5;5;5;5;1;1;2;5;2;1;2;2;5;1;5;5;5;5;5;5;5;1;5;5;5;5;5;1;1;1;1;;
-4998_2009-07-17_10:06:53;1;5;5;5;5;1;5;1;1;5;1;1;5;5;1;5;1;5;5;1;1;5;5;5;1;1;1;1;1;1;1;1;1;1;1;5;1;5;1;1;1;2;1;5;1;5;5;0;1;1;1;1;5;1;1;5;1;5;1;5;1;1;1;1;1;1;5;1;5;5;5;1;1;1;5;2;1;1;1;1;1;1;1;5;5;5;1;1;5;1;2;1;5;5;1;1;5;5;5;1;1;1;5;5;1;1;5;1;1;1;1;5;1;1;5;1;1;1;1;5;1;5;5;1;1;5;1;5;5;1;5;1;1;5;1;1;1;5;1;5;;
-4999_2009-07-17_10:16:50;1;2;5;5;2;1;3;2;1;2;5;1;5;3;2;2;2;5;5;2;2;5;5;5;2;3;5;5;2;1;2;2;2;1;2;2;3;5;2;2;1;1;1;3;2;5;5;0;2;1;2;2;2;1;2;5;5;2;2;5;2;2;5;2;2;2;5;1;2;5;5;1;2;2;5;1;2;3;1;2;2;1;1;5;5;5;2;2;5;5;2;3;2;5;5;1;5;5;2;3;3;2;2;5;2;2;5;2;5;2;2;2;1;2;2;3;5;2;2;5;2;2;2;2;5;5;2;2;2;2;2;5;2;5;2;2;2;5;2;2;;
-4999_2009-07-17_10:22:19;1;2;2;5;2;1;2;2;5;2;1;1;5;5;2;1;2;5;5;2;5;5;5;5;5;5;2;2;2;2;2;2;3;5;2;2;3;5;2;2;1;5;1;5;2;5;5;0;2;1;2;2;2;1;1;2;2;2;2;5;2;2;5;2;2;1;5;1;2;5;5;1;2;2;5;1;1;2;1;2;1;1;1;2;5;5;1;2;5;5;5;4;2;5;2;1;2;2;2;2;2;5;2;2;2;2;5;2;5;2;2;1;1;2;5;2;2;2;1;5;2;2;2;2;5;5;2;2;2;5;2;2;2;5;2;2;2;2;2;1;;
-4999_2009-07-17_10:24:19;1;1;1;5;1;1;5;1;5;1;1;1;5;5;1;1;1;5;5;1;5;5;5;5;5;1;1;1;1;1;5;1;1;5;1;1;1;5;1;1;1;5;1;1;1;5;5;0;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;5;1;1;5;5;1;1;1;5;1;1;1;1;1;1;1;1;1;5;5;1;1;5;1;1;5;1;5;1;1;1;1;1;1;1;1;1;1;1;1;5;1;5;1;1;1;3;1;1;1;1;1;1;5;1;1;1;1;5;5;1;1;1;5;1;1;1;5;1;1;1;1;1;1;;
-5000_2009-07-17_10:27:09;1;5;1;5;1;1;1;1;1;5;5;1;5;1;1;1;1;5;5;1;5;5;5;5;5;1;1;1;1;1;1;1;1;5;1;5;1;5;1;1;1;5;1;1;1;5;5;0;1;1;1;5;1;1;1;1;1;1;1;5;1;1;1;1;1;1;5;1;1;5;5;1;1;5;5;1;1;5;1;5;1;1;1;1;5;5;1;2;5;1;5;1;5;5;1;1;5;1;1;5;1;5;5;1;2;1;5;1;5;1;1;1;1;1;5;1;1;1;1;5;1;1;1;1;5;5;1;1;1;5;1;1;1;5;1;1;1;1;2;5;;
-5001_2009-07-17_10:31:58;5;5;5;5;5;1;5;5;2;2;5;5;5;2;2;5;1;5;5;5;5;5;5;5;5;1;5;5;2;5;2;2;2;2;4;5;5;5;5;2;2;5;5;4;5;5;1;0;2;1;2;4;2;1;5;1;5;2;2;5;1;2;5;4;2;1;5;1;1;5;5;2;1;5;5;5;5;5;1;3;5;2;1;1;5;5;1;5;5;5;1;1;1;5;5;5;5;1;5;5;5;1;1;4;1;2;5;2;5;2;1;5;2;1;1;2;1;2;2;5;1;4;2;4;5;5;2;5;1;2;1;5;2;5;1;1;1;1;1;5;;
-5001_2009-07-17_10:33:48;5;2;2;5;5;2;5;2;2;2;5;1;5;2;2;5;1;5;5;2;5;5;5;5;5;5;5;2;1;2;2;2;2;2;2;5;2;5;2;2;2;2;5;1;1;5;2;0;2;2;2;2;2;2;5;1;1;5;2;5;1;3;5;2;2;1;5;2;2;5;5;5;1;5;5;1;5;5;2;2;5;3;1;5;5;5;2;5;5;1;2;1;2;5;2;3;4;1;1;2;2;1;5;5;1;2;5;2;5;2;1;5;3;1;1;3;1;2;2;5;1;2;2;2;5;5;2;2;2;2;1;5;2;5;2;1;1;1;1;5;;
-5001_2009-07-17_10:40:22;5;5;5;2;2;2;5;2;2;2;5;1;5;2;2;2;1;5;5;2;2;5;1;2;5;5;5;2;2;2;2;2;2;5;2;5;2;5;2;2;2;2;5;5;2;5;5;0;2;1;2;2;2;5;1;1;2;2;2;5;2;2;5;2;2;1;5;2;2;5;5;2;2;5;5;1;2;2;2;2;4;2;2;5;5;5;2;5;5;2;5;2;5;5;2;2;2;2;1;2;3;5;2;5;2;2;5;2;5;2;2;5;2;4;2;2;2;2;1;5;2;2;2;2;5;5;2;2;2;2;2;5;2;5;2;2;1;2;2;2;;
-5001_2009-07-17_11:01:48;1;1;1;1;1;2;3;1;2;1;2;2;5;1;1;1;1;1;5;1;1;5;2;5;5;5;5;1;1;1;1;1;1;3;1;1;1;5;1;1;2;2;2;2;2;5;1;0;1;2;1;4;1;2;1;1;1;1;1;5;1;1;5;1;1;2;5;2;1;5;5;2;1;1;5;2;1;1;5;1;2;5;2;1;5;2;2;5;5;1;3;2;3;5;1;2;2;5;1;2;1;2;2;1;2;1;5;1;2;1;1;2;1;5;5;2;2;1;1;5;1;1;1;1;1;5;1;1;1;5;1;1;1;5;1;5;1;2;2;5;;
-5002_2009-07-17_11:09:08;5;2;5;1;2;1;5;5;2;2;1;1;5;5;2;5;1;2;1;2;2;5;1;5;5;5;2;5;2;5;2;5;2;1;2;5;2;5;2;2;1;1;1;1;1;5;5;0;5;1;2;2;2;5;2;2;5;2;5;2;2;2;5;5;2;1;5;5;5;5;5;1;2;2;5;1;1;2;5;5;1;5;1;2;5;1;1;1;5;2;5;1;1;5;2;1;5;5;5;5;2;5;1;2;1;2;5;2;5;2;2;5;2;1;2;1;3;2;2;5;2;2;2;2;2;5;2;5;2;5;5;5;2;5;2;5;5;1;1;2;;
-5002_2009-07-17_11:10:13;5;1;5;1;1;1;2;1;1;1;1;1;5;1;1;1;1;1;1;1;1;5;1;5;5;1;1;5;1;1;1;1;1;1;1;5;1;5;1;1;1;1;1;1;1;5;5;0;1;1;1;4;5;5;1;1;5;1;1;1;1;1;1;5;1;4;5;5;1;5;5;1;1;1;5;1;1;1;5;5;1;5;1;1;5;1;1;1;5;1;1;1;1;5;1;1;5;5;5;2;1;5;2;1;1;1;5;1;5;1;1;5;1;1;1;1;2;1;1;5;1;1;1;1;1;5;1;5;1;5;5;5;1;5;1;5;1;1;1;1;;
-5003_2009-07-17_11:18:46;5;5;1;1;1;1;5;5;2;3;1;1;5;1;1;1;1;1;5;1;1;5;1;1;5;1;1;5;1;1;1;1;5;1;1;5;1;5;1;1;1;1;1;1;1;5;5;0;1;1;1;1;5;5;1;5;1;1;1;1;1;1;5;5;1;1;5;5;2;5;5;1;1;1;5;1;1;5;5;1;1;5;1;1;5;1;5;5;5;1;5;1;1;5;1;1;5;5;5;1;5;5;1;4;1;2;5;3;5;1;1;5;1;1;1;1;1;1;1;5;1;5;2;1;3;5;1;5;1;5;1;1;1;5;1;5;1;1;1;5;;
-5003_2009-07-17_11:21:26;5;5;1;1;1;1;5;5;1;2;4;1;5;1;1;1;1;1;5;1;1;5;1;1;5;1;4;1;1;1;1;1;5;1;1;5;1;5;1;1;1;1;1;1;1;5;5;0;1;1;1;1;5;5;1;1;1;1;1;1;1;1;1;5;1;1;5;5;1;5;5;1;1;1;5;1;1;5;5;1;1;5;1;1;5;1;5;5;5;1;1;1;1;5;1;1;5;5;5;5;5;5;5;1;1;1;5;3;5;1;1;5;1;1;1;1;1;1;1;1;1;5;2;1;1;5;1;5;1;5;1;1;1;5;1;5;1;1;1;5;;
-5007_2009-07-17_11:24:54;5;5;1;1;5;1;5;5;1;1;1;1;5;1;1;1;5;1;5;1;5;5;5;5;5;1;1;1;1;1;5;1;5;1;1;5;1;5;1;1;1;5;1;1;1;5;5;0;1;1;1;1;5;5;1;5;1;1;1;5;1;1;1;5;1;1;5;5;1;5;5;1;1;1;5;1;1;5;5;1;1;5;1;1;5;1;5;5;5;1;1;5;2;5;1;1;5;5;1;1;5;1;5;1;1;1;5;5;5;1;1;5;1;5;1;1;1;1;1;1;1;5;1;1;1;5;1;5;1;5;1;1;1;5;1;5;1;5;1;1;;
-5009_2009-07-17_11:30:55;5;5;4;5;5;5;5;5;1;1;5;5;5;5;1;5;1;1;5;1;1;5;5;5;5;1;5;1;1;1;1;1;1;1;1;5;1;5;1;1;5;5;1;1;1;5;5;0;1;1;1;1;5;5;1;1;1;1;5;1;1;5;1;1;1;1;5;5;1;5;5;1;5;5;5;1;1;1;5;1;5;5;1;1;5;1;5;5;5;1;1;5;1;5;1;5;5;5;1;1;5;1;1;1;1;1;5;1;5;1;5;5;1;1;1;1;1;1;1;5;1;5;1;1;5;5;1;1;1;5;1;1;1;5;1;5;1;5;1;5;;
