-;7;18;31;43;50;51;54;80;82;117;121;125;139;146;155;178;265;7193;7194;7196;7198;7199;7206;7207;7208;7221;7227;7229;7242;7252;7448;12253;15266;23310;23412;23421;23521;23526;23547;23689;23696;23703;23765;23775;23861;24021;24048;26333;26418;26429;26656;33749;34360;34422;34505;35241;36032;36146;36693;37063;37153;37449;37812;38116;38456;38848;39007;39606;43842;43989;44850;45101;45771;47204;47225;47229;47235;47484;47811;47836;47839;47842;47844;47850;47852;47856;47860;47861;47865;47866;47867;47875;47932;47983;48114;48541;48565;48690;50482;50877;51660;51970;53899;53909;53912;53916;53917;53926;53931;53932;53995;54711;56356;65703;69932;70474;73568;73569;73570;73571;73572;73573;73574;73575;73576;73577;73578;73579;73580;73581;73583;73584;73585;73586;73587;73588;73589;73590;73591;73592;73593;74432;data;laikas;balsid;topic
1;1;1;0;0;0;1;0;1;1;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;1;1;1;1;0;1;0;1;1;0;1;0;0;1;1;1;1;1;1;0;1;0;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;2012-11-17;00:24:10;13672;7
2;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;2012-11-17;00:38:30;13673;4
3;0;1;0;0;0;1;0;1;1;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;1;1;1;1;1;0;1;0;1;0;1;0;1;1;1;0;1;0;1;1;1;1;1;0;0;1;1;0;1;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;1;0;0;1;1;1;0;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;0;0;2012-11-17;00:43:24;13673;7
4;0;1;0;0;0;1;0;1;1;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;1;1;1;1;1;0;1;0;1;0;1;0;1;1;1;0;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;1;1;1;0;0;1;1;1;0;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;0;2012-11-17;00:56:07;13674;6
5;0;1;0;0;0;1;0;1;1;1;0;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;1;1;1;0;0;1;1;1;0;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;0;0;2012-11-17;01:09:30;13675;7
6;0;1;0;0;0;1;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;1;1;1;0;0;1;0;0;0;0;1;0;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;2012-11-17;01:13:37;13676;6
7;1;1;1;0;0;1;0;1;1;1;0;0;1;0;0;0;1;1;1;0;0;1;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;1;1;1;1;0;1;0;1;1;0;1;0;0;1;1;1;1;1;1;0;1;0;1;0;0;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;1;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;2012-11-17;00:22:03;13677;6
8;1;1;1;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;1;0;1;0;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;1;0;1;0;1;1;1;1;0;1;0;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0;2012-11-20;12:26:56;13680;4
9;1;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;1;1;1;1;0;0;2012-11-20;12:32:46;13682;4
